farm,visit,prop.roya,prop.lecanii,prop.myco,prop.snail,prop.mite
YAUC5*,3,0.05,0,0,0,0
YAUC5*,4,0.05,0,0,0,0
YAUC5*,5,0,0,0,0,0
JUAN7*,1,0.45,0,NA,NA,NA
JUAN7*,2,0.45,0.333333333,0.222222222,0,0
JUAN7*,3,0.5,0,0,0,0
JUAN7*,4,0.65,0,0,0,0
JUAN7*,5,0.55,0.181818182,0,0,0
JUAN7*,6,0.7,0.071428571,0.071428571,0,0
JUAN7*,7,0.7,0.285714286,0,0,0
JUAN7*,8,0.5,0.4,0,0,0
JUAN7*,9,0.6,0.083333333,0,0,0
JUAN7*,10,0.7,0,0,0,0
JUAN7*,11,0.7,0.285714286,0,0,0
JUAN7*,12,0.7,0.285714286,0,0,0
JUAN1,1,0,0,0,0,0
JUAN1,2,0,0,0,0,0
JUAN1,3,0,0,0,0,0
JUAN1,4,0,0,0,0,0
JUAN1,5,0,0,0,0,0
JUAN1,6,0,0,0,0,0
JUAN1,7,0,0,0,0,0
JUAN1,8,0,0,0,0,0
JUAN1,9,0,0,0,0,0
JUAN1,10,0,0,0,0,0
JUAN1,11,0,0,0,0,0
JUAN1,12,0,0,0,0,0
UTUA5,1,0,0,0,0,0
UTUA5,2,0,0,0,0,0
UTUA5,3,0,0,0,0,0
UTUA5,4,0,0,0,0,0
UTUA5,5,0.1,0,0,0,0
UTUA5,6,0.1,0,0,0,0
UTUA5,7,0.15,0.333333333,0,0,0
UTUA5,8,0.2,0.5,0,0,0
UTUA5,9,0.2,0,0,0,0
UTUA5,10,0.1,0,0,0,0
UTUA5,11,0,0,0,0,0
UTUA5,12,0,0,0,0,0
UTUA10,1,0,0,0,0,0
UTUA10,2,0,0,0,0,0
UTUA10,3,0,0,0,0,0
UTUA10,4,0,0,0,0,0
UTUA10,5,0.05,0,0,0,0
UTUA10,6,0.1,0.5,0,0,0
UTUA10,7,0.15,0.333333333,0,0,0
UTUA10,8,0.1,0.5,0,0,0
UTUA10,9,0.1,0,0,0,0
UTUA10,10,0.1,0,0,0,0
UTUA10,11,0.05,0,0,0,0
UTUA10,12,0.05,1,1,0,0
UTUA30*,1,0.25,0,0,0,0.2
UTUA30*,2,0.4,0.25,0,0,0
UTUA30*,3,0.3,0.166666667,0,0,0
UTUA30*,4,0.45,0.222222222,0,0,0
UTUA30*,5,0.45,0.888888889,0.111111111,0,0
UTUA30*,6,0.4,1,0.375,0,0
UTUA30*,7,0.5,0.6,0,0,0
UTUA30*,8,0.6,0.416666667,0,0,0
UTUA30*,9,0.3,0.666666667,0,0,0
UTUA30*,10,0.4,0.375,0.125,0,0
UTUA30*,11,0.4,0.5,0.75,0,0
UTUA30*,12,0.4,0.125,0,0,0
UTUA17*,1,0,0,0,0,0
UTUA17*,2,0,0,0,0,0
UTUA17*,3,0,0,0,0,0
UTUA17*,4,0,0,0,0,0
UTUA17*,5,0,0,0,0,0
UTUA17*,6,0,0,0,0,0
UTUA17*,7,0,0,0,0,0
UTUA17*,8,0.05,0,0,0,0
UTUA17*,9,0,0,0,0,0
UTUA17*,10,0,0,0,0,0
UTUA17*,11,0.05,0,0,0,0
UTUA17*,12,0,0,0,0,0
UTUA18,1,0.05,1,1,0,0
UTUA18,2,0.05,1,1,0,0
UTUA18,3,0.05,1,1,0,0
UTUA18,4,0.05,1,1,0,0
UTUA18,5,0.05,1,1,0,0
UTUA18,6,0.05,1,1,0,0
UTUA18,7,0.1,0.5,0,0,0
UTUA18,8,0.1,0.5,0,0,0
UTUA18,9,0.1,0.5,0,0,0
UTUA18,10,0.1,0.5,0,0,0
UTUA18,11,0.05,1,0,0,0
UTUA18,12,0.05,1,0,0,0
UTUA20*,1,0.15,1,0.333333333,0,0.666666667
UTUA20*,2,0.15,0.666666667,0,0,0
UTUA20*,3,0.2,0.75,0.25,0,0.25
UTUA20*,4,0.25,0.8,0.4,0,0
UTUA20*,5,0.25,0.8,0.2,0,0
UTUA20*,6,0.35,0.857142857,0.285714286,0,0
UTUA20*,7,0.3,0.833333333,0.166666667,0,0
UTUA20*,8,0.45,0.555555556,0,0,0
UTUA20*,9,0.25,0.4,0,0,0.2
UTUA20*,10,0.45,0.333333333,0.111111111,0,0
UTUA20*,11,0.25,0.4,0,0,0
UTUA20*,12,0.2,1,0,0,0
UTUA13,1,0.1,0.5,0.5,0,0.5
UTUA13,2,0.1,1,0.5,0,0.5
UTUA13,3,0.1,1,0.5,0,0.5
UTUA13,4,0.1,0.5,0,0,0
UTUA13,5,0.1,0.5,0.5,0,0
UTUA13,6,0.1,0,0.5,0,0
UTUA13,7,0.1,0.5,0.5,0,0
UTUA13,8,0.1,1,1,0,0
UTUA13,9,0.1,0.5,0.5,0,0
UTUA13,10,0.1,1,0.5,0,0
UTUA13,11,0.1,1,0.5,0,0.5
UTUA13,12,0.1,1,0,0,0.5
